id,total_count,hourly_count,time,conf,thresh,number_of_snaps,store_uid_id,date
1,0,0,9,25,45,6,70144842,2021-02-23
,0,0,10,25,45,6,70144842,2021-02-23
,0,0,11,25,45,6,70144842,2021-02-23
,0,0,12,25,45,6,70144842,2021-02-23
,0,0,13,25,45,6,70144842,2021-02-23
,0,0,14,25,45,6,70144842,2021-02-23
,0,0,15,25,45,6,70144842,2021-02-23
,0,0,16,25,45,6,70144842,2021-02-23
,0,0,17,25,45,6,70144842,2021-02-23
,0,0,18,25,45,6,70144842,2021-02-23
,0,0,19,25,45,6,70144842,2021-02-23
,0,0,20,25,45,6,70144842,2021-02-23
,29,0,23,25,45,6,70144842,2021-02-23
,0,0,9,25,45,6,70144773,2021-02-23
,0,0,10,25,45,6,70144773,2021-02-23
,0,0,11,25,45,6,70144773,2021-02-23
,0,0,12,25,45,6,70144773,2021-02-23
,0,0,13,25,45,6,70144773,2021-02-23
,0,0,14,25,45,6,70144773,2021-02-23
,0,0,15,25,45,6,70144773,2021-02-23
,0,0,16,25,45,6,70144773,2021-02-23
,0,0,17,25,45,6,70144773,2021-02-23
,0,0,18,25,45,6,70144773,2021-02-23
,0,0,19,25,45,6,70144773,2021-02-23
,0,0,20,25,45,6,70144773,2021-02-23
,15,0,23,25,45,6,70144773,2021-02-23
,0,0,9,25,45,6,70144854,2021-02-23
,0,0,10,25,45,6,70144854,2021-02-23
,0,0,11,25,45,6,70144854,2021-02-23
,0,0,12,25,45,6,70144854,2021-02-23
,0,0,13,25,45,6,70144854,2021-02-23
,0,0,14,25,45,6,70144854,2021-02-23
,0,0,15,25,45,6,70144854,2021-02-23
,0,0,16,25,45,6,70144854,2021-02-23
,0,0,17,25,45,6,70144854,2021-02-23
,0,0,18,25,45,6,70144854,2021-02-23
,0,0,19,25,45,6,70144854,2021-02-23
,0,0,20,25,45,6,70144854,2021-02-23
,3,0,23,25,45,6,70144854,2021-02-23
,0,0,9,25,45,6,70144864,2021-02-23
,0,0,10,25,45,6,70144864,2021-02-23
,0,0,11,25,45,6,70144864,2021-02-23
,0,0,12,25,45,6,70144864,2021-02-23
,0,0,13,25,45,6,70144864,2021-02-23
,0,0,14,25,45,6,70144864,2021-02-23
,0,0,15,25,45,6,70144864,2021-02-23
,0,0,16,25,45,6,70144864,2021-02-23
,0,0,17,25,45,6,70144864,2021-02-23
,0,0,18,25,45,6,70144864,2021-02-23
,0,0,19,25,45,6,70144864,2021-02-23
,0,0,20,25,45,6,70144864,2021-02-23
,30,0,23,25,45,6,70144864,2021-02-23
,0,0,9,25,45,6,70155322,2021-02-23
,0,0,10,25,45,6,70155322,2021-02-23
,0,0,11,25,45,6,70155322,2021-02-23
,0,0,12,25,45,6,70155322,2021-02-23
,0,0,13,25,45,6,70155322,2021-02-23
,0,0,14,25,45,6,70155322,2021-02-23
,0,0,15,25,45,6,70155322,2021-02-23
,0,0,16,25,45,6,70155322,2021-02-23
,0,0,17,25,45,6,70155322,2021-02-23
,0,0,18,25,45,6,70155322,2021-02-23
,0,0,19,25,45,6,70155322,2021-02-23
,0,0,20,25,45,6,70155322,2021-02-23
,20,0,23,25,45,6,70155322,2021-02-23
,0,0,9,25,45,6,70144776,2021-02-23
,0,0,10,25,45,6,70144776,2021-02-23
,0,0,11,25,45,6,70144776,2021-02-23
,0,0,12,25,45,6,70144776,2021-02-23
,0,0,13,25,45,6,70144776,2021-02-23
,0,0,14,25,45,6,70144776,2021-02-23
,0,0,15,25,45,6,70144776,2021-02-23
,0,0,16,25,45,6,70144776,2021-02-23
,0,0,17,25,45,6,70144776,2021-02-23
,0,0,18,25,45,6,70144776,2021-02-23
,0,0,19,25,45,6,70144776,2021-02-23
,0,0,20,25,45,6,70144776,2021-02-23
,9,0,23,25,45,6,70144776,2021-02-23
,0,0,9,25,45,6,70144958,2021-02-23
,0,0,10,25,45,6,70144958,2021-02-23
,0,0,11,25,45,6,70144958,2021-02-23
,0,0,12,25,45,6,70144958,2021-02-23
,0,0,13,25,45,6,70144958,2021-02-23
,0,0,14,25,45,6,70144958,2021-02-23
,0,0,15,25,45,6,70144958,2021-02-23
,0,0,16,25,45,6,70144958,2021-02-23
,0,0,17,25,45,6,70144958,2021-02-23
,0,0,18,25,45,6,70144958,2021-02-23
,0,0,19,25,45,6,70144958,2021-02-23
,0,0,20,25,45,6,70144958,2021-02-23
,11,0,23,25,45,6,70144958,2021-02-23
,0,0,9,25,45,6,70164772,2021-02-23
,0,0,10,25,45,6,70164772,2021-02-23
,0,0,11,25,45,6,70164772,2021-02-23
,0,0,12,25,45,6,70164772,2021-02-23
,0,0,13,25,45,6,70164772,2021-02-23
,0,0,14,25,45,6,70164772,2021-02-23
,0,0,15,25,45,6,70164772,2021-02-23
,0,0,16,25,45,6,70164772,2021-02-23
,0,0,17,25,45,6,70164772,2021-02-23
,0,0,18,25,45,6,70164772,2021-02-23
